subject_id,take_id,n_samples,n_motion_frames,motion_pressure_ratio,speed_m_s_assumed_64hz,left_n_steps,right_n_steps,left_copy_r,right_copy_r,exclude_pressure,exclude_mocap
P12,M9,219,653,2.9817351598173514,1.6340829377741442,4,3,0.885776360863488,0.44016568013242197,False,False
P12,M10,205,610,2.975609756097561,1.728934408972848,4,4,0.8714703727724714,0.5346393671798239,False,False
P13,M1,,,,,,,,,True,True
P13,M2,282,839,2.975177304964539,1.299014882652106,5,6,0.8535600033759643,0.30973167570907184,False,False
P13,M3,268,798,2.9776119402985075,1.3260933579787912,5,5,0.8878322972036046,0.2885357771318696,False,False
P13,M4,290,863,2.975862068965517,1.2595983492927136,4,6,0.871618878664019,0.22340792054806297,False,False
P13,M5,275,819,2.978181818181818,1.3551006752276251,4,7,0.8624565435193754,0.235154713124423,False,False
P13,M6,240,715,2.9791666666666665,1.4536043310158233,4,5,0.8976816595610131,0.2474805678751861,False,False
P13,M7,265,790,2.981132075471698,1.3886553018350514,4,8,0.8836319388555509,0.22221098231247377,False,False
P13,M8,144,774,5.375,2.5396062902471845,2,5,0.9194970618424537,0.07492255971404749,False,False
P13,M9,7,759,108.42857142857143,51.6518083134552,0,0,nan,nan,False,False
P13,M10,260,774,2.976923076923077,1.3905482255630564,4,5,0.8638175765029774,0.30557564073879845,False,False
P14,M1,334,996,2.9820359281437128,1.1124045839343064,9,9,0.9714885044857209,0.6543906122601914,False,False
P14,M2,336,1004,2.988095238095238,1.1267624504628326,9,8,0.9547297274811526,0.515390376688547,False,False
P14,M3,312,927,2.9711538461538463,1.064252770358018,7,7,0.9596607529762009,0.5785163036605829,False,False
P14,M4,313,934,2.984025559105431,1.1498793025339051,9,8,0.9610903189313295,0.5195314152191134,False,False
P14,M5,328,980,2.9878048780487805,1.116212848130469,9,8,0.9529141482900406,0.32432086409376226,False,False
P14,M6,336,1004,2.988095238095238,1.0785205185080837,8,8,0.963521371739909,0.5514748947909491,False,False
P14,M7,363,1085,2.9889807162534434,1.0460280483622892,9,9,0.9548526315903639,0.5705555699456183,False,False
P14,M8,338,1008,2.9822485207100593,1.0962587104227195,9,8,0.959131686582796,0.3917992114855463,False,False
P14,M9,320,955,2.984375,1.1110900655153597,9,6,0.9567125167657026,0.5564780636976656,False,False
P14,M10,337,1006,2.9851632047477743,1.1166841697219054,9,9,0.9482309772297343,0.47414375156027116,False,False
P15,M1,288,854,2.9652777777777777,1.3032485045778917,8,6,0.9173250743843561,0.198029160192377,False,False
P15,M2,296,882,2.97972972972973,1.2801831494802494,8,7,0.9536301047923864,0.16153089263990245,False,False
P15,M3,2,840,420.0,186.29399548062165,0,0,nan,nan,False,False
P15,M4,289,863,2.986159169550173,1.2546344427024163,8,6,0.9474044654972402,0.0691515599035094,False,False
P15,M5,306,910,2.973856209150327,1.2097750972571188,8,8,0.9484546215388308,0.12647396109176703,False,False
P15,M6,290,863,2.975862068965517,1.2568197510445156,8,5,0.9472754550471463,0.13584531903887553,False,False
P15,M7,298,890,2.9865771812080535,1.2179100819342124,8,8,0.937145196110411,-0.018812788629222244,False,False
P15,M8,302,902,2.986754966887417,1.2150348460158682,8,8,0.926145211312919,0.1813144331123588,False,False
P15,M9,320,954,2.98125,1.1695828334311824,9,7,0.9547584028012196,0.1015282055011411,False,False
P15,M10,308,917,2.977272727272727,1.184971795672031,9,7,0.9188258298586905,-0.01661551272473284,False,False
